Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5, C6",0603,5,10uF 25V,C96446
C10,0402,1,22pF,C1555
"C11, C14, C15",0402,3,10pF,C32949
"C12, C13, C16, C17, C22, C23, C4",0402,7,100nF,C307331
C18,0402,1,560pF,C1539
C19,0402,1,10nF,C15195
"C20, C21",0603,2,2.2uF,C23630
C9,0402,1,1pF,C1550
D1,0603,1,LED Blue,C72041
D2,0603,1,LED Red,C2286
L1,0402,1,2.7 nH,C76791
"L2, L3",0402,2,4.7nH,C341688
"R1, R5, R6",0402,3,470Ω,C25117
R2,0402,1,1kΩ,C11702
R25,0402,1,200Ω,C25087
R3,0402,1,100kΩ,C25741
"R4, R7, R8",0402,3,10kΩ,C25744
U1,a7105-QFN-20,1,A7105,C126376
U2,SOT-89-3,1,"300mA Fixed 3.3V Positive 24V SOT-89 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",C7434186
U3,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,1,ATTiny1616-MNR,C507118
"U4, U5, U6",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,3,DRV8231DSGR,C3681197
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,16mhz Seiko Epson Q24FA20H0051200,C255947
